ts,contacts,node,pred+,sp,t_1copies,t_2copies,t_3copies,t_4copies
0,11,0,"[2, 3, 4, 7]",8,9,45,165,495
0,11,1,[],0,1,1,1,1
0,11,2,"[0, 3, 4, 7]",8,9,45,165,495
0,11,3,[],0,1,1,1,1
0,11,4,"[0, 2, 3, 7]",4,5,15,35,70
0,11,5,"[0, 1, 2, 3, 4, 6, 7]",12,13,91,455,1820
0,11,6,"[0, 2, 3, 4, 7]",10,11,66,286,1001
0,11,7,"[0, 2, 3, 4]",6,7,28,84,210
1,11,0,"[1, 2, 3, 4, 5, 6]",9,10,55,220,715
1,11,1,[],0,1,1,1,1
1,11,2,[],0,1,1,1,1
1,11,3,[1],1,2,3,4,5
1,11,4,"[0, 1, 2, 3, 5, 6]",6,7,28,84,210
1,11,5,"[0, 1, 2, 3, 4, 6]",7,8,36,120,330
1,11,6,[],0,1,1,1,1
1,11,7,"[0, 1, 2, 3, 4, 5, 6]",18,19,190,1330,7315
2,11,0,[3],1,2,3,4,5
2,11,1,[3],1,2,3,4,5
2,11,2,"[0, 1, 3, 4, 5]",7,8,36,120,330
2,11,3,[],0,1,1,1,1
2,11,4,"[3, 5]",2,3,6,10,15
2,11,5,[],0,1,1,1,1
2,11,6,"[1, 3, 5, 7]",4,5,15,35,70
2,11,7,"[1, 3, 5, 6]",4,5,15,35,70
3,11,0,"[1, 2, 3, 4, 5, 6, 7]",19,20,210,1540,8855
3,11,1,"[2, 3, 4, 5, 7]",8,9,45,165,495
3,11,2,"[5, 7]",2,3,6,10,15
3,11,3,"[2, 5, 7]",3,4,10,20,35
3,11,4,"[2, 5, 7]",3,4,10,20,35
3,11,5,[],0,1,1,1,1
3,11,6,"[1, 2, 3, 4, 5, 7]",15,16,136,816,3876
3,11,7,[5],1,2,3,4,5
4,11,0,"[1, 3, 4]",5,6,21,56,126
4,11,1,[],0,1,1,1,1
4,11,2,"[1, 3]",2,3,6,10,15
4,11,3,[1],1,2,3,4,5
4,11,4,"[1, 3]",2,3,6,10,15
4,11,5,"[0, 1, 3, 4]",6,7,28,84,210
4,11,6,"[0, 1, 2, 3, 4, 5]",17,18,171,1140,5985
4,11,7,"[1, 3]",2,3,6,10,15
5,11,0,[],0,1,1,1,1
5,11,1,"[0, 4]",3,4,10,20,35
5,11,2,"[0, 3, 4, 5, 6, 7]",8,9,45,165,495
5,11,3,"[0, 2, 4, 5, 6, 7]",8,9,45,165,495
5,11,4,[0],1,2,3,4,5
5,11,5,"[0, 6]",2,3,6,10,15
5,11,6,[0],1,2,3,4,5
5,11,7,"[0, 2, 3, 4, 5, 6]",8,9,45,165,495
6,11,0,"[1, 2, 3, 4, 5, 6, 7]",10,11,66,286,1001
6,11,1,"[2, 3, 4, 5, 6, 7]",8,9,45,165,495
6,11,2,"[1, 3, 4, 5, 6, 7]",9,10,55,220,715
6,11,3,"[1, 2, 4, 5, 6, 7]",7,8,36,120,330
6,11,4,"[1, 2, 3, 5, 6, 7]",10,11,66,286,1001
6,11,5,"[1, 2, 3, 4, 6, 7]",6,7,28,84,210
6,11,6,"[1, 2, 3, 4, 5, 7]",6,7,28,84,210
6,11,7,"[1, 2, 3, 4, 5, 6]",6,7,28,84,210
7,11,0,"[2, 3, 4, 5, 6]",6,7,28,84,210
7,11,1,"[0, 2, 3, 4, 5, 6]",16,17,153,969,4845
7,11,2,"[0, 3, 4, 5, 6]",8,9,45,165,495
7,11,3,"[0, 2, 4, 5, 6]",6,7,28,84,210
7,11,4,"[0, 2, 3, 5, 6]",7,8,36,120,330
7,11,5,"[0, 2, 3, 4, 6]",6,7,28,84,210
7,11,6,[],0,1,1,1,1
7,11,7,"[0, 2, 3, 4, 5, 6]",7,8,36,120,330
8,11,0,"[4, 5, 6, 7]",5,6,21,56,126
8,11,1,"[0, 4, 5, 6, 7]",6,7,28,84,210
8,11,2,"[0, 4, 5, 6, 7]",9,10,55,220,715
8,11,3,"[0, 2, 4, 5, 6, 7]",10,11,66,286,1001
8,11,4,"[0, 5, 6, 7]",4,5,15,35,70
8,11,5,"[0, 4, 6, 7]",8,9,45,165,495
8,11,6,"[0, 4, 5, 7]",5,6,21,56,126
8,11,7,"[0, 4, 5, 6]",8,9,45,165,495
9,11,0,"[2, 3, 5, 7]",4,5,15,35,70
9,11,1,[],0,1,1,1,1
9,11,2,"[0, 3, 5, 7]",4,5,15,35,70
9,11,3,"[0, 2, 5, 7]",4,5,15,35,70
9,11,4,[],0,1,1,1,1
9,11,5,"[0, 2, 3, 7]",5,6,21,56,126
9,11,6,"[0, 1, 2, 3, 4, 5, 7]",7,8,36,120,330
9,11,7,"[0, 2, 3, 5]",4,5,15,35,70
