ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,13,1,7.0,56,5,2,{5: 1},{1: 1},8,0
0,11,2,143,1,44.333333333333336,1596,5,5,"{5: 1, 6: 1}",{1: 2},36,28
0,11,3,1287,1,257.1333333333333,30856,5,9,"{2: 1, 5: 1, 6: 1}",{1: 3},120,112
0,11,4,11583,1,1379.169696969697,455126,5,11,"{0: 1, 2: 1, 5: 1, 6: 1}",{1: 4},330,322
1,11,1,19,1,6.125,49,4,2,{7: 1},{1: 1},8,0
1,11,2,190,1,34.02777777777778,1225,4,6,{7: 2},{1: 2},36,6
1,11,3,1900,1,173.54166666666666,20825,4,9,"{0: 1, 7: 2}",{1: 3},120,33
1,11,4,15200,1,820.3787878787879,270725,4,12,"{0: 1, 5: 1, 7: 2}",{1: 4},330,116
2,11,1,8,1,3.375,27,3,2,{2: 1},{3: 1},8,0
2,11,2,40,1,10.5,378,3,5,"{2: 1, 6: 1}",{3: 2},36,2
2,11,3,200,1,30.45,3654,3,6,"{2: 1, 6: 1, 7: 1}",{3: 3},120,15
2,11,4,900,1,83.04545454545455,27405,3,8,"{2: 2, 6: 1, 7: 1}",{3: 4},330,64
3,11,1,20,1,7.375,59,6,2,{0: 1},{5: 1},8,0
3,11,2,320,1,49.166666666666664,1770,6,4,"{0: 1, 6: 1}",{5: 2},36,0
3,11,3,3360,1,299.9166666666667,35990,6,7,"{0: 2, 6: 1}",{5: 3},120,0
3,11,4,30240,1,1690.439393939394,557845,6,10,"{0: 2, 1: 1, 6: 1}",{5: 4},330,0
4,11,1,18,1,5.375,43,5,2,{6: 1},{1: 1},8,0
4,11,2,171,1,26.27777777777778,946,5,5,{6: 2},{1: 2},36,0
4,11,3,1197,1,118.25,14190,5,8,"{5: 1, 6: 2}",{1: 3},120,0
4,11,4,7980,1,494.5,163185,5,10,"{5: 1, 6: 3}",{1: 4},330,0
5,11,1,9,1,4.875,39,5,3,{2: 1},{0: 1},8,0
5,11,2,81,1,21.666666666666668,780,5,6,"{2: 1, 3: 1}",{0: 2},36,0
5,11,3,729,1,88.83333333333333,10660,5,9,"{2: 1, 3: 1, 7: 1}",{0: 3},120,0
5,11,4,3645,1,339.1818181818182,111930,5,12,"{2: 1, 3: 1, 7: 2}",{0: 4},330,0
6,11,1,11,7,8.75,70,7,4,{0: 1},{5: 1},8,0
6,11,2,121,28,69.02777777777777,2485,7,10,"{0: 1, 4: 1}",{5: 2},36,0
6,11,3,1210,84,497.0,59640,7,13,"{0: 1, 2: 1, 4: 1}",{5: 3},120,0
6,11,4,10890,210,3298.2727272727275,1088430,7,19,"{0: 1, 1: 1, 2: 1, 4: 1}",{5: 4},330,0
7,11,1,17,1,8.0,64,6,4,{1: 1},{6: 1},8,0
7,11,2,153,1,57.77777777777778,2080,6,7,{1: 2},{6: 2},36,0
7,11,3,1377,1,381.3333333333333,45760,6,11,"{1: 2, 2: 1}",{6: 3},120,0
7,11,4,11016,1,2322.6666666666665,766480,6,14,"{1: 2, 2: 1, 4: 1}",{6: 4},330,0
8,11,1,11,5,7.875,63,6,6,{3: 1},{4: 1},8,0
8,11,2,110,15,56.0,2016,6,11,"{2: 1, 3: 1}",{4: 2},36,0
8,11,3,990,35,364.0,43680,6,16,"{2: 1, 3: 1, 5: 1}",{4: 3},120,0
8,11,4,8910,70,2184.0,720720,6,20,"{2: 1, 3: 1, 5: 1, 7: 1}",{4: 4},330,0
9,11,1,8,1,4.5,36,5,3,{6: 1},{1: 1},8,0
9,11,2,48,1,18.5,666,5,6,"{5: 1, 6: 1}",{1: 2},36,0
9,11,3,240,1,70.3,8436,5,9,"{3: 1, 5: 1, 6: 1}",{1: 3},120,0
9,11,4,1200,1,249.24545454545455,82251,5,11,"{2: 1, 3: 1, 5: 1, 6: 1}",{1: 4},330,0
