ts,contacts,copies,max_t,min_t,avg_t,acum_t,max_hop_sp,dif_contacts_upper_bound,state_max_t,state_min_t,explored_states,non_reachable_states_count
0,11,1,24,1,8.25,66,6,4,{5: 1},{1: 1},8,0
0,11,2,300,1,61.416666666666664,2211,6,7,{5: 2},{1: 2},36,28
0,11,3,3300,1,417.6333333333333,50116,6,9,"{5: 2, 7: 1}",{1: 3},120,112
0,11,4,33000,1,2619.7,864501,6,12,"{4: 1, 5: 2, 7: 1}",{1: 4},330,322
1,11,1,17,1,8.125,65,6,4,{1: 1},{4: 1},8,0
1,11,2,170,1,59.583333333333336,2145,6,7,"{1: 1, 5: 1}",{4: 2},36,7
1,11,3,1530,1,399.2083333333333,47905,6,12,"{1: 2, 5: 1}",{4: 3},120,35
1,11,4,13770,1,2467.8333333333335,814385,6,16,"{1: 2, 5: 1, 7: 1}",{4: 4},330,119
2,11,1,11,1,5.875,47,6,2,{3: 1},{6: 1},8,0
2,11,2,110,1,31.333333333333332,1128,6,5,"{3: 1, 5: 1}",{6: 2},36,0
2,11,3,990,1,153.53333333333333,18424,6,7,"{1: 1, 3: 1, 5: 1}",{6: 3},120,0
2,11,4,8910,1,697.8787878787879,230300,6,11,"{0: 1, 1: 1, 3: 1, 5: 1}",{6: 4},330,0
3,11,1,17,1,5.25,42,5,2,{6: 1},{2: 1},8,0
3,11,2,153,1,25.083333333333332,903,5,5,{6: 2},{2: 2},36,0
3,11,3,969,1,110.36666666666666,13244,5,9,{6: 3},{2: 3},120,0
3,11,4,5814,1,451.5,148995,5,12,"{3: 1, 6: 3}",{2: 4},330,0
4,11,1,14,1,4.875,39,4,3,{7: 1},{3: 1},8,0
4,11,2,105,1,21.666666666666668,780,4,5,{7: 2},{3: 2},36,0
4,11,3,735,1,88.83333333333333,10660,4,8,"{6: 1, 7: 2}",{3: 3},120,0
4,11,4,4410,1,339.1818181818182,111930,4,11,"{0: 1, 6: 1, 7: 2}",{3: 4},330,0
5,11,1,15,1,8.375,67,6,4,{2: 1},{3: 1},8,0
5,11,2,210,1,63.27777777777778,2278,6,7,"{2: 1, 6: 1}",{3: 2},36,0
5,11,3,2100,1,436.6166666666667,52394,6,10,"{2: 1, 4: 1, 6: 1}",{3: 3},120,0
5,11,4,21000,1,2778.469696969697,916895,6,13,"{0: 1, 2: 1, 4: 1, 6: 1}",{3: 4},330,0
6,11,1,15,1,7.625,61,5,3,{7: 1},{1: 1},8,0
6,11,2,150,1,52.52777777777778,1891,5,6,"{2: 1, 7: 1}",{1: 2},36,0
6,11,3,1350,1,330.925,39711,5,9,"{2: 1, 4: 1, 7: 1}",{1: 3},120,0
6,11,4,12150,1,1925.3818181818183,635376,5,13,"{2: 1, 3: 1, 4: 1, 7: 1}",{1: 4},330,0
7,11,1,7,1,3.875,31,4,2,{0: 1},{2: 1},8,0
7,11,2,42,1,13.777777777777779,496,4,5,"{0: 1, 1: 1}",{2: 2},36,0
7,11,3,252,1,45.46666666666667,5456,4,7,"{0: 1, 1: 1, 4: 1}",{2: 3},120,0
7,11,4,1008,1,140.53333333333333,46376,4,11,"{0: 1, 1: 1, 3: 1, 4: 1}",{2: 4},330,0
8,11,1,12,1,4.125,33,4,2,{5: 1},{1: 1},8,0
8,11,2,78,1,15.583333333333334,561,4,3,{5: 2},{1: 2},36,0
8,11,3,390,1,54.541666666666664,6545,4,6,"{2: 1, 5: 2}",{1: 3},120,0
8,11,4,1820,1,178.5,58905,4,8,"{2: 1, 5: 3}",{1: 4},330,0
9,11,1,10,1,4.5,36,4,4,{4: 1},{1: 1},8,0
9,11,2,60,1,18.5,666,4,7,"{2: 1, 4: 1}",{1: 2},36,0
9,11,3,330,1,70.3,8436,4,10,"{2: 1, 4: 2}",{1: 3},120,0
9,11,4,1650,1,249.24545454545455,82251,4,13,"{0: 1, 2: 1, 4: 2}",{1: 4},330,0
